web-scraper-order	web-scraper-start-url	问题名字	提问时间	提出的问题	提出的问题-href	name	answer
1574231374-220	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	BadSessionIdInvalid from Client	"#2790
            opened on 5 Jun by
            MarkusWeinand"	BadSessionIdInvalid from Client	https://github.com/open62541/open62541/issues/2790	MarkusWeinand	
1574231460-257	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"PubSub Publisher example, not setting the DataSetMetaData"	"#2800
            opened on 8 Jun by
            cpipero"	"PubSub Publisher example, not setting the DataSetMetaData"	https://github.com/open62541/open62541/issues/2800	andreasebner	
1574231409-240	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Processing the message failed with error BadOutOfMemory	"#2792
            opened on 5 Jun by
            MarineKing5248"	Processing the message failed with error BadOutOfMemory	https://github.com/open62541/open62541/issues/2792	mlgiraud	
1574231533-327	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Problem when using multiple DataSetReader	"#2817
            opened on 14 Jun by
            Fischer-Thomas"	Problem when using multiple DataSetReader	https://github.com/open62541/open62541/issues/2817		
1574231914-501	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Generated custom data-types inside a method call	"#2920
            opened on 24 Jul by
            starki93"	Generated custom data-types inside a method call	https://github.com/open62541/open62541/issues/2920		
1574231460-273	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"PubSub Publisher example, not setting the DataSetMetaData"	"#2800
            opened on 8 Jun by
            cpipero"	"PubSub Publisher example, not setting the DataSetMetaData"	https://github.com/open62541/open62541/issues/2800		And then you can just say UA_FieldMetaData_init(&dsmd->fields[i]); to init.
1574231516-311	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	How to create a certification and send this to server	"#2816
            opened on 14 Jun by
            AndyarcherReset"	How to create a certification and send this to server	https://github.com/open62541/open62541/issues/2816		https://github.com/open62541/open62541/blob/master/tools/certs/create_self-signed.py
1574231477-288	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	"#2808
            opened on 12 Jun by
            TorbenD"	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	https://github.com/open62541/open62541/issues/2808		"Thats correct, but we need to make it more modular. With our nodeswitch extension https://github.com/open62541/open62541/pull/2748 it is possible to load different nodestore at runtime and they all get different namespaces. So we want to seperate the dataTypes to the namespaces they belong to. And then it does not make sense to put all dataTypes in one namespace.
Yes we have different .bsd files"
1574231391-237	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	UA_server_browse maxrefs	"#2791
            opened on 5 Jun by
            etm"	UA_server_browse maxrefs	https://github.com/open62541/open62541/issues/2791		"Sorry for the late response. The nature of the error changed somehow.
When setting maxrefs to 1:
While before i got an error for each node i tried to insert, now i get the following error once.
Connection 0 | SecureChannel 0 | Session g=00000001-0000-0000-0000-000000000000 | AddNodes: Node type ns=42864;i=2696489728 not found
where the ns and the numeric id are random. The error message is always the second message that appears when starting the server. If i increase maxrefs (as before) the error vanishes. But at least all nodes are here now (or at least i cant see any missing).
When setting maxrefs to 2:

Error vanishes. Will try with a big server with 1000s of nodes tomorrow to be sure, to find out if it just occurs with higher node count."
1574231550-346	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Intel Compiler 18.1 crash when compiling amalgamation header/source under Linux	"#2823
            opened on 18 Jun by
            ebissonn"	Intel Compiler 18.1 crash when compiling amalgamation header/source under Linux	https://github.com/open62541/open62541/issues/2823	ebissonn	
1574231898-480	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Compile freeRTOS with open62541 errors	"#2893
            opened on 18 Jul by
            mrburen121"	Compile freeRTOS with open62541 errors	https://github.com/open62541/open62541/issues/2893		"I have pdMS_TO_TICKS defined in freertos/include/projdefs.h

It should be defined in your freertos somewhere
About UA_ServerConfig_new_customBuffer can maybe @Pro help"
1574231601-364	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Subscriber: Using multiple ReaderGroups causes PubSubChannel->regist to fail	"#2839
            opened on 24 Jun by
            Fischer-Thomas"	Subscriber: Using multiple ReaderGroups causes PubSubChannel->regist to fail	https://github.com/open62541/open62541/issues/2839		"@opcua-tsn-team-kalycito

Please have a look.

Also, cover this with a unit test to prevent regressions.
Thanks."
1574231460-269	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"PubSub Publisher example, not setting the DataSetMetaData"	"#2800
            opened on 8 Jun by
            cpipero"	"PubSub Publisher example, not setting the DataSetMetaData"	https://github.com/open62541/open62541/issues/2800		"Hey Cos,
you are looking at the right code to set the content during reading.

Two things are required:

Set and store the UA_FieldMetaData in the internal DataSet representation
Return the fieldmetadata in the onRead callback.

The UA_DataSetField structure (publishedDataSet->fields) contains a UA_FieldMetaData entry.

So you can copy that over during onRead.
But the UA_FieldMetaData is not automatically filled atm.

Most of the information can be read from the variable definition when the field is created.
We might have to extend the public API so that the user can fill in more MetaData information.

At this time you need to expose some internals to add the data for your demo."
1574231477-287	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	"#2808
            opened on 12 Jun by
            TorbenD"	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	https://github.com/open62541/open62541/issues/2808		"If the DataTypes are in both UA_DataTypeArray

You mean ""are both in the same UA_DataTypeArray""?

you get different decoding and encoding functions, but they both have the same name

You should not have to define DataTypes twice.

Normally, the dependency is

between builtin types
from a custom type to a builtin type
between custom types in the same .bsd file

These cases are automatically covered.
Do you have a dependency between DataTypes from different .bsd files?"
1574231323-204	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Historical data question	"#2781
            opened on 4 Jun by
            luibass92"	Historical data question	https://github.com/open62541/open62541/issues/2781	juangburgos	
1574231618-381	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	"#2844
            opened on 26 Jun by
            elitezhu"	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	https://github.com/open62541/open62541/issues/2844		"The only notable difference i see is that the open62541 client sends null array instead of empty arrays.

You could try changing the arrays to empty arrays in the getendpoints request to see if this solves the problem.

I couldn't find anything in the standard that fobids null arrays, so it could be that this is a misbehavior on the devices side."
1574231618-383	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	"#2844
            opened on 26 Jun by
            elitezhu"	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	https://github.com/open62541/open62541/issues/2844		"@mlgiraud I have update the array size to 0, and the telegram looks almost the same as the one of UaExpert, but it still fails. Very Strange.
B&R_PLC_Open62541_Telegram_2019_07_04.zip

B&R_PLC_Uaexpert_Telegram_2019_07_04.zip
@opcua-tsn-team-kalycito Sorr"
1574231601-363	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Subscriber: Using multiple ReaderGroups causes PubSubChannel->regist to fail	"#2839
            opened on 24 Jun by
            Fischer-Thomas"	Subscriber: Using multiple ReaderGroups causes PubSubChannel->regist to fail	https://github.com/open62541/open62541/issues/2839	opcua-tsn-team-kalycito	
1574231898-464	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Compile freeRTOS with open62541 errors	"#2893
            opened on 18 Jul by
            mrburen121"	Compile freeRTOS with open62541 errors	https://github.com/open62541/open62541/issues/2893	mrburen121	
1574231391-235	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	UA_server_browse maxrefs	"#2791
            opened on 5 Jun by
            etm"	UA_server_browse maxrefs	https://github.com/open62541/open62541/issues/2791		"@jpfr?
I tried for several hours to create a small example, without all the complexity my server has.
Could the problem be that i use UA_Server_browse inside the callback function of a UA_Server_forEachChildNodeCall?
Maybe a common results table with faul"
1574231494-301	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	NamespaceArray looks good but Namespaces object doesn't match it	"#2810
            opened on 12 Jun by
            cpipero"	NamespaceArray looks good but Namespaces object doesn't match it	https://github.com/open62541/open62541/issues/2810		Perfect. Looking forward to it. ??
1574231800-424	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	OPC UA Pub/Sub over MQTT	"#2865
            opened on 3 Jul by
            canadyre"	OPC UA Pub/Sub over MQTT	https://github.com/open62541/open62541/issues/2865		"Hi,

there is a branch which contains OPC UA PubSub MQTT with examples also. Check the branch pubsub_mqtt_clean. My master thesis is about OPC UA PubSub, so I've worked on PubSub with MQTT, in case you have questions just let me know.
Regards
Sohail"
1574231760-403	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Historical data example code	"#2863
            opened on 2 Jul by
            GLmontanari"	Historical data example code	https://github.com/open62541/open62541/issues/2863		Try with latest master. Compile using CMake option UA_ENABLE_HISTORIZING set to true. I tried with VS2017 and UaExpert and it works.
1574231460-259	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"PubSub Publisher example, not setting the DataSetMetaData"	"#2800
            opened on 8 Jun by
            cpipero"	"PubSub Publisher example, not setting the DataSetMetaData"	https://github.com/open62541/open62541/issues/2800	jpfr	
1574231391-231	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	UA_server_browse maxrefs	"#2791
            opened on 5 Jun by
            etm"	UA_server_browse maxrefs	https://github.com/open62541/open62541/issues/2791	etm	
1574231618-378	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	"#2844
            opened on 26 Jun by
            elitezhu"	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	https://github.com/open62541/open62541/issues/2844		"@opcua-tsn-team-kalycito , I have captured the raw telegram via wireshark, please have a check.

B&R_PLC_OPCUA_RAW_TELEGRAM.zip"
1574231914-498	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Generated custom data-types inside a method call	"#2920
            opened on 24 Jul by
            starki93"	Generated custom data-types inside a method call	https://github.com/open62541/open62541/issues/2920	starki93	
1574231770-404	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Need for better TCP and mDNS interface selection	"#2864
            opened on 2 Jul by
            Pro"	Need for better TCP and mDNS interface selection	https://github.com/open62541/open62541/issues/2864	mlgiraud	
1574231618-379	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	"#2844
            opened on 26 Jun by
            elitezhu"	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	https://github.com/open62541/open62541/issues/2844		"@opcua-tsn-team-kalycito And this is the uaexpert telegram with the PLC via wirshark.

B&R_PLC_Uaexpert_Telegram.zip"
1574231533-335	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Problem when using multiple DataSetReader	"#2817
            opened on 14 Jun by
            Fischer-Thomas"	Problem when using multiple DataSetReader	https://github.com/open62541/open62541/issues/2817		
1574231898-473	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Compile freeRTOS with open62541 errors	"#2893
            opened on 18 Jul by
            mrburen121"	Compile freeRTOS with open62541 errors	https://github.com/open62541/open62541/issues/2893	cabralfortiss	
1574231460-268	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"PubSub Publisher example, not setting the DataSetMetaData"	"#2800
            opened on 8 Jun by
            cpipero"	"PubSub Publisher example, not setting the DataSetMetaData"	https://github.com/open62541/open62541/issues/2800		"@jpfr would you have any idea on this? It might make it for a great Interop week if I can fix this.
If you look at my last comment, I'm either very close or way off track.
Thanks in advance,
Cos"
1574231898-463	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Compile freeRTOS with open62541 errors	"#2893
            opened on 18 Jul by
            mrburen121"	Compile freeRTOS with open62541 errors	https://github.com/open62541/open62541/issues/2893	cabralfortiss	
1574231914-505	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Generated custom data-types inside a method call	"#2920
            opened on 24 Jul by
            starki93"	Generated custom data-types inside a method call	https://github.com/open62541/open62541/issues/2920		ua_generate_nodeset_and_datatypes(
1574231898-486	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Compile freeRTOS with open62541 errors	"#2893
            opened on 18 Jul by
            mrburen121"	Compile freeRTOS with open62541 errors	https://github.com/open62541/open62541/issues/2893		"Read the documentation carefully.
It looks like you forgot this part:
When compiling LwIP you need a file called lwipopts.h. In this file, you put all the configuration variables. You need to make sure that you have the following configurations there:
#define LWIP_COMPAT_SOCKETS 0 // Don't do name define-transformation in networking function names.
#define LWIP_SOCKET 1 // Enable Socket API (normally already set)
#define LWIP_DNS 1 // enable the lwip_getaddrinfo function, struct addrinfo and more.
#define SO_REUSE 1 // Allows to set the socket as reusable
#define LWIP_TIMEVAL_PRIVATE 0 // This is optional. Set this flag if you get a compilation error about redefinition of struct timeval"
1574231923-516	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	"Compiled nodesets do not initialize the variable type, UA Expert can not write to variable"	"#2924
            opened on 25 Jul by
            Pro"	"Compiled nodesets do not initialize the variable type, UA Expert can not write to variable"	https://github.com/open62541/open62541/issues/2924	ccvca	
1574231567-359	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Access control over endpoints	"#2829
            opened on 18 Jun by
            SebsSa"	Access control over endpoints	https://github.com/open62541/open62541/issues/2829		@Feras992 this you can also solve with the custom data/sessionContext from the AccessControl plugin. During ActivateSession you must store the relevant/session-data like username or permission groups in you own defined sessionContext.
1574231460-251	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"PubSub Publisher example, not setting the DataSetMetaData"	"#2800
            opened on 8 Jun by
            cpipero"	"PubSub Publisher example, not setting the DataSetMetaData"	https://github.com/open62541/open62541/issues/2800	mpostol	
1574231618-373	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	"#2844
            opened on 26 Jun by
            elitezhu"	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	https://github.com/open62541/open62541/issues/2844	elitezhu	
1574231391-236	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	UA_server_browse maxrefs	"#2791
            opened on 5 Jun by
            etm"	UA_server_browse maxrefs	https://github.com/open62541/open62541/issues/2791		"Could the problem be that i use UA_Server_browse inside the callback function of a UA_Server_forEachChildNodeCall?

If that is the issue, we have to fix it.

Browse should not modify the information model in any way.
The mentioned branch has merged to master.

Can you update and retry?"
1574231374-221	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	BadSessionIdInvalid from Client	"#2790
            opened on 5 Jun by
            MarkusWeinand"	BadSessionIdInvalid from Client	https://github.com/open62541/open62541/issues/2790	jpfr	
1574231533-329	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Problem when using multiple DataSetReader	"#2817
            opened on 14 Jun by
            Fischer-Thomas"	Problem when using multiple DataSetReader	https://github.com/open62541/open62541/issues/2817		}
1574231919-512	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Semantic release numbers	"#2923
            opened on 25 Jul by
            jrcoding"	Semantic release numbers	https://github.com/open62541/open62541/issues/2923	jrcoding	
1574231800-413	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	OPC UA Pub/Sub over MQTT	"#2865
            opened on 3 Jul by
            canadyre"	OPC UA Pub/Sub over MQTT	https://github.com/open62541/open62541/issues/2865	rudoq32	
1574231800-423	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	OPC UA Pub/Sub over MQTT	"#2865
            opened on 3 Jul by
            canadyre"	OPC UA Pub/Sub over MQTT	https://github.com/open62541/open62541/issues/2865		"As far as I know, the PubSub mechanism is currently only supported by UADP."
1574231584-360	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Historize data in a circular buffer	"#2835
            opened on 20 Jun by
            luibass92"	Historize data in a circular buffer	https://github.com/open62541/open62541/issues/2835	jpfr	
1574231898-475	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Compile freeRTOS with open62541 errors	"#2893
            opened on 18 Jul by
            mrburen121"	Compile freeRTOS with open62541 errors	https://github.com/open62541/open62541/issues/2893		cc @cabralfortiss
1574231340-208	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Updating nodes (deleting and adding nodes) during runtime from dedicated thread	"#2783
            opened on 4 Jun by
            Nik654"	Updating nodes (deleting and adding nodes) during runtime from dedicated thread	https://github.com/open62541/open62541/issues/2783	Nik654	
1574231426-249	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Can report.ci be helpful?	"#2793
            opened on 6 Jun by
            escherstair"	Can report.ci be helpful?	https://github.com/open62541/open62541/issues/2793		I've just asked the developer if he has plans to support Check framework too.
1574231409-242	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Processing the message failed with error BadOutOfMemory	"#2792
            opened on 5 Jun by
            MarineKing5248"	Processing the message failed with error BadOutOfMemory	https://github.com/open62541/open62541/issues/2792		"CRITICAL:opcua.client.ua_client.Socket:Received an error: MessageAbort(error:StatusCode(Good), reason:None

That sounds like the problem is with python opcua.

Wrong forum. Please post at FreePython's github.

But when I am using python server and python clients there is no error at all. It only happens when I am using open62541 server and python clients. That is why I think the problem is with the C server."
1574231323-205	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Historical data question	"#2781
            opened on 4 Jun by
            luibass92"	Historical data question	https://github.com/open62541/open62541/issues/2781		https://blog.basyskom.com/author/prus/
1574231460-255	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"PubSub Publisher example, not setting the DataSetMetaData"	"#2800
            opened on 8 Jun by
            cpipero"	"PubSub Publisher example, not setting the DataSetMetaData"	https://github.com/open62541/open62541/issues/2800	cpipero	
1574231652-385	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Performance measurement of Client/Server and Pub/Sub on VxWorks	"#2846
            opened on 26 Jun by
            kingalexsylvester"	Performance measurement of Client/Server and Pub/Sub on VxWorks	https://github.com/open62541/open62541/issues/2846	kingalexsylvester	
1574231914-497	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Generated custom data-types inside a method call	"#2920
            opened on 24 Jul by
            starki93"	Generated custom data-types inside a method call	https://github.com/open62541/open62541/issues/2920	starki93	
